Age of respondent,Was r born in this country,Welfare
59,Yes,Not applicable
56,Yes,Not applicable
37,Yes,Not applicable
69,Yes,Not applicable
51,No,Not applicable
42,No,About right
54,Yes,Not applicable
37,No,About right
69,Yes,Too much
35,Yes,Too much
80,Yes,Too much
30,Yes,Not applicable
59,No,Not applicable
29,No,Not applicable
44,No,Too much
47,No,About right
65,Yes,Not applicable
39,Yes,Not applicable
55,No,About right
35,Yes,Too little
30,Yes,Not applicable
25,Yes,About right
48,Yes,Don't know
72,No,Not applicable
24,Yes,Too little
28,Yes,Not applicable
No answer,Yes,Not applicable
32,No,Not applicable
65,No,Not applicable
41,Yes,Too much
74,Yes,Too much
45,Yes,Too much
23,No,Too little
26,No,Too much
35,Yes,Not applicable
38,No,About right
44,Yes,Not applicable
58,Yes,About right
61,Yes,Too much
68,No,Not applicable
64,Yes,Not applicable
61,Yes,Not applicable
41,Yes,Not applicable
40,Yes,Not applicable
81,No,Too much
37,Yes,Too much
84,Yes,About right
54,Yes,Too much
23,Yes,Too little
81,No,Not applicable
46,Yes,Too much
54,Yes,Too much
75,No,About right
23,Yes,Not applicable
67,Yes,Not applicable
84,No,Not applicable
62,Yes,Not applicable
59,Yes,Too much
26,Yes,Too much
56,No,Too little
45,Yes,Too much
62,No,About right
41,No,Not applicable
32,No,Not applicable
46,Yes,Too little
50,No,About right
34,Yes,Not applicable
53,No,Too much
41,Yes,About right
24,Yes,About right
61,Yes,Not applicable
52,Yes,Not applicable
23,Yes,Too little
19,Yes,About right
30,Yes,Not applicable
19,Yes,About right
45,No,Too much
58,No,Too much
72,Yes,Too much
43,Yes,Too little
30,Yes,Too much
42,Yes,Not applicable
58,Yes,About right
78,No,Not applicable
43,Yes,Too much
50,Yes,Too little
61,No,Not applicable
30,No,Not applicable
18,Yes,Not applicable
20,No,Too much
81,Yes,Not applicable
31,Yes,Too much
31,Yes,Not applicable
34,No,About right
25,Yes,About right
28,Yes,Not applicable
62,Yes,Too much
70,Yes,Too little
54,No,Too little
50,Yes,Not applicable
53,Yes,Not applicable
35,Yes,Not applicable
74,Yes,Not applicable
39,No,Not applicable
45,Yes,Too much
69,Yes,About right
70,Yes,Not applicable
53,Yes,Not applicable
65,Yes,Too little
49,Yes,Not applicable
66,Yes,No answer
69,Yes,Not applicable
52,Yes,Not applicable
49,Yes,Too much
39,No,About right
33,No,About right
23,Yes,Not applicable
22,Yes,Too much
65,Yes,Not applicable
58,Yes,Not applicable
52,Yes,Too much
88,Yes,Too little
60,Yes,Not applicable
35,No,Not applicable
72,Yes,Not applicable
77,Yes,Don't know
49,No,Too much
40,Yes,Not applicable
35,No,Not applicable
62,Yes,Not applicable
70,Yes,Not applicable
44,Yes,Not applicable
60,Yes,About right
57,No,About right
39,Yes,Too much
52,No,Too much
22,Yes,Too much
89 or older,Yes,Too little
25,No,Not applicable
65,Yes,Not applicable
44,Yes,Too much
59,Yes,About right
66,Yes,Too little
28,Yes,About right
29,Yes,About right
65,Yes,Not applicable
45,Yes,Not applicable
19,Yes,Not applicable
55,Yes,Too much
60,No,Not applicable
55,Yes,Too much
24,Yes,Not applicable
40,Yes,Too much
55,Yes,Not applicable
63,Yes,Not applicable
63,Yes,Not applicable
59,Yes,Not applicable
54,No,Not applicable
34,No,Too much
66,Yes,About right
65,No,Not applicable
63,Yes,Too little
40,No,Not applicable
71,No,About right
51,Yes,About right
60,No,Not applicable
34,No,Not applicable
69,Yes,Too much
68,Yes,About right
32,Yes,About right
74,Yes,Too much
31,No,Not applicable
56,No,Not applicable
41,No,About right
29,No,Not applicable
42,Yes,Not applicable
80,Yes,Too much
33,Yes,Too much
37,No,Don't know
76,Yes,Not applicable
50,Yes,Not applicable
49,Yes,Not applicable
36,Yes,Too much
49,Yes,Too much
79,Yes,Too much
74,Yes,Not applicable
55,No,Too little
55,Yes,Too much
75,Yes,About right
71,Yes,Not applicable
33,No,Not applicable
72,Yes,Not applicable
70,Yes,Too little
55,Yes,Not applicable
74,Yes,Not applicable
18,Yes,Too much
58,Yes,Not applicable
70,Yes,Too little
83,Yes,Don't know
66,Yes,Too little
61,No,Not applicable
71,Yes,Too much
74,Yes,Too much
58,Yes,Too little
47,Yes,Not applicable
29,No,Not applicable
26,Yes,Too much
67,Yes,About right
29,No,Not applicable
69,Yes,Not applicable
61,Yes,Not applicable
62,Yes,Too much
41,Yes,Not applicable
26,Yes,Not applicable
49,Yes,Too little
32,Yes,Not applicable
46,Yes,About right
40,Yes,Not applicable
25,Yes,Not applicable
61,Yes,Not applicable
79,Yes,About right
24,Yes,Not applicable
54,Yes,Not applicable
79,Yes,Too much
33,Yes,Not applicable
36,Yes,Not applicable
19,Yes,About right
36,Yes,Not applicable
25,Yes,Not applicable
32,Yes,Too much
59,No,Not applicable
47,Yes,Too much
57,Yes,About right
67,Yes,Too much
61,Yes,Not applicable
34,Yes,Not applicable
50,Yes,Too much
24,Yes,Not applicable
48,Yes,Too much
30,Yes,Too much
21,Yes,Not applicable
37,No,Not applicable
40,No,Too much
26,No,Not applicable
45,Yes,Not applicable
58,Yes,Too little
