Age.of.respondent,Region.of.interview,Can.people.be.trusted
74,New england,Cannot trust
56,New england,Not applicable
63,New england,Cannot trust
34,Middle atlantic,Cannot trust
25,New england,Cannot trust
51,New england,Cannot trust
28,Middle atlantic,Cannot trust
61,Middle atlantic,Not applicable
54,Middle atlantic,Not applicable
53,Middle atlantic,Cannot trust
38,Middle atlantic,Not applicable
69,Middle atlantic,Cannot trust
35,Middle atlantic,Cannot trust
80,Middle atlantic,Not applicable
50,Middle atlantic,Depends
30,Middle atlantic,Not applicable
52,Middle atlantic,Cannot trust
42,Middle atlantic,Can trust
51,Middle atlantic,Not applicable
63,Middle atlantic,Cannot trust
39,Middle atlantic,Depends
58,Middle atlantic,Cannot trust
43,Middle atlantic,Cannot trust
55,Middle atlantic,Not applicable
51,Middle atlantic,Cannot trust
35,Middle atlantic,Cannot trust
43,Middle atlantic,Not applicable
41,Middle atlantic,Can trust
25,Middle atlantic,Not applicable
48,Middle atlantic,Can trust
26,Middle atlantic,Not applicable
No answer,Middle atlantic,Cannot trust
62,Middle atlantic,Can trust
65,Middle atlantic,Cannot trust
51,Middle atlantic,Not applicable
81,Middle atlantic,Can trust
45,Middle atlantic,Cannot trust
60,Middle atlantic,Not applicable
41,Middle atlantic,Cannot trust
79,Middle atlantic,Depends
32,Middle atlantic,Cannot trust
89 or older,Middle atlantic,Can trust
38,Middle atlantic,Cannot trust
47,Middle atlantic,Cannot trust
53,Middle atlantic,Can trust
54,Middle atlantic,Not applicable
54,Middle atlantic,Can trust
23,New england,Cannot trust
82,New england,Can trust
84,Pacific,Cannot trust
45,Pacific,Cannot trust
59,Pacific,Cannot trust
63,Pacific,Can trust
37,Pacific,Can trust
56,Pacific,Not applicable
45,Pacific,Cannot trust
62,Pacific,Cannot trust
24,Pacific,Cannot trust
48,Pacific,Not applicable
31,Pacific,Cannot trust
35,Pacific,Cannot trust
26,Pacific,Can trust
78,Pacific,Cannot trust
27,Pacific,Cannot trust
32,Pacific,Cannot trust
46,Pacific,Not applicable
41,Pacific,Cannot trust
38,Pacific,Cannot trust
35,Pacific,Cannot trust
19,Pacific,Depends
29,Pacific,Cannot trust
61,Pacific,Cannot trust
33,Pacific,Cannot trust
69,Pacific,Depends
61,Pacific,Not applicable
78,Pacific,Can trust
43,Pacific,Cannot trust
41,Pacific,Can trust
46,Pacific,Not applicable
19,Pacific,Not applicable
51,Pacific,Can trust
41,Pacific,Not applicable
72,Pacific,Not applicable
21,Pacific,Cannot trust
58,Pacific,Cannot trust
55,Pacific,Can trust
58,Pacific,Cannot trust
78,Pacific,Not applicable
78,Pacific,Cannot trust
43,Pacific,Depends
29,Pacific,Cannot trust
61,Pacific,Cannot trust
18,Pacific,Cannot trust
26,Pacific,Not applicable
20,Pacific,Not applicable
61,E. nor. central,Cannot trust
84,E. nor. central,Can trust
54,E. nor. central,Not applicable
43,E. nor. central,Cannot trust
30,E. nor. central,Can trust
25,E. nor. central,Depends
19,E. nor. central,Cannot trust
33,E. nor. central,Cannot trust
27,E. nor. central,Can trust
41,E. nor. central,Cannot trust
35,E. nor. central,Cannot trust
64,E. nor. central,Not applicable
39,E. nor. central,Can trust
45,E. nor. central,Not applicable
38,E. nor. central,Cannot trust
70,E. nor. central,Can trust
65,E. nor. central,Can trust
35,E. nor. central,Not applicable
