Age of respondent,Race of respondent,Can people be trusted
59,White,Not applicable
74,White,Cannot trust
63,White,Cannot trust
36,White,Cannot trust
47,White,Can trust
31,White,Can trust
69,White,Cannot trust
80,White,Not applicable
59,White,Not applicable
52,White,Cannot trust
29,Other,Cannot trust
51,Other,Not applicable
56,White,Cannot trust
65,White,Depends
32,White,Cannot trust
51,White,Can trust
27,White,Can trust
39,White,Depends
51,Other,Cannot trust
30,Other,Cannot trust
45,White,Cannot trust
24,White,Can trust
40,Other,Cannot trust
26,Black,Not applicable
43,Black,Cannot trust
45,White,Cannot trust
28,Other,Cannot trust
58,White,Not applicable
61,White,Can trust
32,White,Cannot trust
68,White,Not applicable
29,Black,Not applicable
77,Black,Not applicable
54,Black,Not applicable
61,White,Not applicable
57,Other,Not applicable
81,White,Cannot trust
38,White,Can trust
45,White,Can trust
55,Other,Depends
74,White,Can trust
84,White,Depends
54,White,Cannot trust
25,Other,Cannot trust
45,White,Depends
63,White,Can trust
82,White,Can trust
83,White,Can trust
67,White,Can trust
45,White,Cannot trust
55,White,Can trust
62,White,Not applicable
77,White,Not applicable
63,White,Can trust
26,White,Can trust
56,White,Not applicable
45,Other,Cannot trust
62,White,Cannot trust
48,Black,Not applicable
31,Black,Cannot trust
35,Black,Cannot trust
36,White,Can trust
63,White,Cannot trust
34,Black,Not applicable
46,Other,Not applicable
50,White,Cannot trust
41,White,Cannot trust
54,White,Not applicable
19,Black,Depends
41,White,Not applicable
69,White,Depends
43,White,Cannot trust
37,White,Cannot trust
41,White,Can trust
75,White,Not applicable
75,Other,Can trust
32,Other,Not applicable
58,Other,Cannot trust
55,White,Can trust
80,White,Not applicable
40,White,Can trust
78,White,Cannot trust
43,White,Depends
63,Black,Not applicable
48,Black,Cannot trust
29,Black,Cannot trust
61,White,Cannot trust
39,Other,Cannot trust
31,White,Cannot trust
61,White,Can trust
31,White,Cannot trust
84,White,Not applicable
60,Black,Can trust
43,White,Cannot trust
34,Black,Not applicable
25,White,Not applicable
30,White,Can trust
46,Black,Cannot trust
40,Black,Cannot trust
27,White,Can trust
70,White,Can trust
54,Other,Cannot trust
50,Other,Cannot trust
19,Other,Not applicable
73,White,Can trust
23,Black,Not applicable
82,White,Can trust
50,White,Can trust
74,White,Not applicable
36,White,Cannot trust
53,White,Not applicable
29,White,Not applicable
63,White,Cannot trust
35,White,Cannot trust
35,White,Not applicable
30,White,Can trust
30,White,Cannot trust
49,White,Not applicable
69,White,Cannot trust
63,White,Can trust
60,White,Not applicable
20,White,Can trust
36,White,Not applicable
33,Other,Cannot trust
38,Black,Cannot trust
57,Black,Cannot trust
23,Black,Cannot trust
70,Black,Can trust
64,White,Not applicable
58,White,Cannot trust
52,White,Cannot trust
63,White,Can trust
63,White,Can trust
31,White,Not applicable
88,White,Can trust
60,Black,Can trust
34,White,Can trust
77,White,Not applicable
49,White,Cannot trust
40,White,Cannot trust
35,White,Not applicable
32,Black,Cannot trust
